ID,X1 LIMIT_BAL,X2 SEX,X3 EDUCATION,X4 MARRIAGE,X5 AGE,X6 PAY_0,X7 PAY_2,X8 PAY_3,X9 PAY_4,X10 PAY_5,X11 PAY_6,X12 BILL_AMT1,X13 BILL_AMT2,X14 BILL_AMT3,X15 BILL_AMT4,X16 BILL_AMT5,X17 BILL_AMT6,X18 PAY_AMT1,X19 PAY_AMT2,X20 PAY_AMT3,X21 PAY_AMT4,X22 PAY_AMT5,X23 PAY_AMT6,Y default payment next month,RatioUso_12,RatioUso_13,RatioUso_14,RatioUso_15,RatioUso_16,RatioUso_17
332,130000,2,2,2,40,0,0,2,0,0,0,9559,12394,11883,9826,10167,12685,3000,0,500,500,2700,500,1,0.07353076923076923,0.09533846153846154,0.0914076923076923,0.07558461538461539,0.07820769230769231,0.09757692307692307
339,50000,2,2,1,31,0,0,0,0,0,0,46512,47716,49675,30929,30078,29170,1974,4406,1061,1073,1046,1047,1,0.93024,0.95432,0.9935,0.61858,0.60156,0.5834
348,50000,2,2,2,29,0,0,0,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000,1,0.94162,0.98632,1.00818,0.9109,0.79926,0.8229
350,30000,2,2,2,26,0,0,0,0,0,0,17893,19012,20123,20222,20796,19844,1411,1522,621,795,715,1000,1,0.5964333333333334,0.6337333333333334,0.6707666666666666,0.6740666666666667,0.6932,0.6614666666666666
356,180000,1,2,1,45,0,0,0,0,0,0,27679,28422,29650,29981,30419,31127,1481,2000,1100,1200,1500,1500,1,0.15377222222222223,0.1579,0.16472222222222221,0.1665611111111111,0.16899444444444445,0.1729277777777778
361,500000,2,2,2,23,4,3,2,0,0,0,507726,509229,499936,505507,484612,419643,10000,0,14000,16500,16000,19000,1,1.015452,1.018458,0.999872,1.011014,0.969224,0.839286
370,20000,2,2,1,32,3,2,0,0,0,0,20631,20010,19703,11084,10918,10985,0,1168,384,390,632,616,1,1.03155,1.0005,0.98515,0.5542,0.5459,0.54925
380,50000,1,2,2,31,0,0,0,0,0,0,20526,15129,15093,9577,11139,12487,2000,3000,327,3000,3000,5000,1,0.41052,0.30258,0.30186,0.19154,0.22278,0.24974
382,50000,2,2,1,37,2,2,2,0,0,0,1894,3200,3381,3559,1948,2415,1500,400,200,500,500,400,1,0.03788,0.064,0.06762,0.07118,0.03896,0.0483
384,170000,2,2,2,28,0,0,0,2,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,1,0.017341176470588235,0.02263529411764706,0.03321176470588235,0.032141176470588236,0.03280588235294118,0.03464117647058824
388,80000,1,3,1,73,0,0,0,2,2,2,63144,65631,68875,70646,72870,75018,3500,4330,3500,3500,3500,5100,1,0.7893,0.8203875,0.8609375,0.883075,0.910875,0.937725
390,260000,1,1,1,30,0,0,0,0,0,0,1131,291,582,291,0,291,291,582,0,0,130291,651,1,0.00435,0.0011192307692307693,0.0022384615384615386,0.0011192307692307693,0.0,0.0011192307692307693
392,280000,2,2,1,39,1,0,0,0,0,0,-1312,35918,37297,37154,32581,33316,38621,2000,1130,922,1011,5000,1,-0.004685714285714286,0.12827857142857144,0.13320357142857142,0.13269285714285714,0.11636071428571429,0.11898571428571429
403,150000,1,1,2,41,0,0,0,0,0,2,1464,2084,384,0,2344,822,2091,384,0,2344,0,472,1,0.00976,0.013893333333333334,0.00256,0.0,0.015626666666666667,0.00548
405,160000,2,1,2,29,2,2,2,2,2,2,160432,163916,159676,166893,170098,153800,7500,0,11558,5800,0,5654,1,1.0027,1.024475,0.997975,1.04308125,1.0631125,0.96125
411,60000,2,1,2,23,1,2,2,2,2,2,29332,28577,30805,31601,32349,32965,0,2709,1600,1400,1300,1200,1,0.48886666666666667,0.47628333333333334,0.5134166666666666,0.5266833333333333,0.53915,0.5494166666666667
414,230000,2,2,2,27,1,2,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1,0.05942608695652174,0.05498695652173913,0.05710869565217391,0.046069565217391306,0.040078260869565216,0.022034782608695652
424,200000,1,2,1,38,2,2,2,0,0,0,104978,105924,102663,97090,98045,105253,4500,0,3500,3500,9000,0,1,0.52489,0.52962,0.513315,0.48545,0.490225,0.526265
427,20000,2,3,2,49,2,2,2,2,0,0,9551,12081,13087,12583,15327,16414,3000,1500,0,3123,1500,1000,1,0.47755,0.60405,0.65435,0.62915,0.76635,0.8207
428,170000,2,1,2,31,0,0,0,0,0,0,199,199,199,398,199,199,199,199,398,0,199,398,1,0.0011705882352941177,0.0011705882352941177,0.0011705882352941177,0.0023411764705882354,0.0011705882352941177,0.0011705882352941177
432,390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1,0.7817102564102564,0.7692256410256411,0.7703230769230769,0.7509461538461538,0.7509871794871795,0.7226307692307692
436,270000,2,2,1,32,1,2,2,2,2,2,234752,233036,229286,217644,223690,221413,10000,8000,0,16000,8000,0,1,0.8694518518518518,0.8630962962962963,0.8492074074074074,0.8060888888888889,0.8284814814814815,0.8200481481481482
440,80000,2,1,2,23,0,0,0,0,0,0,77024,73281,57806,37642,46235,47110,3212,1600,956,40000,1800,1700,1,0.9628,0.9160125,0.722575,0.470525,0.5779375,0.588875
445,240000,1,1,2,44,0,0,0,0,0,0,246135,231443,234557,200643,194410,198857,12026,9010,7400,8000,8000,7000,1,1.0255625,0.9643458333333333,0.9773208333333333,0.8360125,0.8100416666666667,0.8285708333333334
452,600000,1,1,1,53,2,2,0,0,0,0,467150,458862,469703,447130,440982,434715,0,18000,16000,16000,21000,20000,1,0.7785833333333333,0.76477,0.7828383333333333,0.7452166666666666,0.73497,0.724525
460,70000,1,2,1,48,0,0,0,0,0,0,50927,39883,32017,17630,9730,6400,2100,1217,500,0,6400,4590,1,0.7275285714285714,0.5697571428571429,0.4573857142857143,0.25185714285714284,0.139,0.09142857142857143
466,230000,1,1,1,59,0,0,0,0,0,0,208459,206331,203813,201331,198999,191671,7536,7277,7100,7120,6844,6945,1,0.9063434782608696,0.8970913043478261,0.8861434782608696,0.8753521739130434,0.8652130434782609,0.8333521739130435
467,220000,1,1,2,38,0,0,0,0,0,0,212795,211043,212759,218541,167743,165300,8909,7500,9000,6729,6000,7009,1,0.96725,0.9592863636363637,0.9670863636363637,0.9933681818181819,0.7624681818181818,0.7513636363636363
471,390000,2,3,2,35,0,0,0,0,0,0,355215,363325,373181,252195,257496,263018,13802,16525,8893,9229,10000,9435,1,0.9108076923076923,0.9316025641025641,0.956874358974359,0.6466538461538461,0.6602461538461538,0.6744051282051282
482,140000,1,2,2,26,0,0,2,2,2,2,131367,146193,140202,144035,140419,130271,17000,0,11400,550,5300,5400,1,0.9383357142857143,1.0442357142857144,1.001442857142857,1.0288214285714286,1.0029928571428572,0.9305071428571429
489,220000,2,2,1,36,0,0,0,0,0,0,396,1648,792,396,396,396,1648,792,0,396,396,792,1,0.0018,0.007490909090909091,0.0036,0.0018,0.0018,0.0018
495,80000,2,1,1,28,0,0,0,0,0,0,8574,9434,10038,10040,10400,10490,1203,1047,248,408,294,276,1,0.107175,0.117925,0.125475,0.1255,0.13,0.131125
504,130000,2,1,1,33,0,0,0,0,0,0,19161,20544,22704,22304,22304,0,2000,3000,0,0,0,0,1,0.14739230769230768,0.15803076923076922,0.17464615384615384,0.17156923076923078,0.17156923076923078,0.0
512,120000,2,2,2,35,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,1,0.002,0.002,0.002,0.002,0.002,0.002
514,50000,1,2,2,23,2,2,2,2,2,2,29509,30741,31438,31924,32566,33081,2000,1500,1300,1300,1200,1500,1,0.59018,0.61482,0.62876,0.63848,0.65132,0.66162
523,360000,1,1,2,28,0,0,0,0,0,0,1210,820,64644,125984,106584,125557,390,75720,62520,17000,132200,167000,1,0.003361111111111111,0.002277777777777778,0.17956666666666668,0.3499555555555556,0.29606666666666664,0.34876944444444447
524,140000,2,2,1,42,0,0,0,0,0,0,111496,112133,69529,70804,70781,66735,6022,3021,5012,5112,3000,5000,1,0.7964,0.80095,0.4966357142857143,0.5057428571428572,0.5055785714285714,0.47667857142857145
528,620000,2,2,1,45,2,2,0,0,0,0,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000,1,0.25941451612903227,0.25296612903225807,0.2587741935483871,0.26416290322580643,0.26961129032258063,0.27563548387096776
533,10000,1,2,2,46,0,0,2,2,2,0,4073,6394,6143,6908,6652,6785,2400,0,871,0,244,251,1,0.4073,0.6394,0.6143,0.6908,0.6652,0.6785
534,100000,2,3,1,50,2,0,0,3,3,2,53849,55030,61574,62470,61198,62524,2050,7500,2500,0,2500,2500,1,0.53849,0.5503,0.61574,0.6247,0.61198,0.62524
543,30000,2,2,1,36,2,3,2,2,0,0,28778,28039,28286,27533,28189,28805,0,1000,0,1100,1100,1500,1,0.9592666666666667,0.9346333333333333,0.9428666666666666,0.9177666666666666,0.9396333333333333,0.9601666666666666
551,100000,1,3,1,52,0,0,2,2,2,0,4657,6068,6418,6781,6144,7638,1500,1000,1000,0,2000,2000,1,0.04657,0.06068,0.06418,0.06781,0.06144,0.07638
552,190000,2,1,2,41,0,0,0,0,0,0,28204,0,16500,0,26854,554,0,16500,0,26854,500,0,1,0.1484421052631579,0.0,0.0868421052631579,0.0,0.14133684210526315,0.0029157894736842106
553,50000,1,1,1,56,0,0,0,0,0,0,50715,51073,28185,28842,30399,29977,2500,1500,1100,2000,1500,1017,1,1.0143,1.02146,0.5637,0.57684,0.60798,0.59954
567,90000,2,1,2,24,0,0,0,0,0,0,13141,14526,15482,18219,22737,23387,1600,1500,3000,5000,1020,764,1,0.14601111111111112,0.1614,0.17202222222222222,0.20243333333333333,0.2526333333333333,0.25985555555555556
576,290000,1,1,1,53,2,0,0,0,0,0,279610,282024,282508,284660,255892,238266,13000,10200,10265,8803,8300,8546,1,0.9641724137931035,0.972496551724138,0.9741655172413793,0.9815862068965517,0.8823862068965517,0.8216068965517241
588,210000,1,3,2,25,0,0,2,0,0,0,8817,23634,21776,9631,1561,1990,23776,0,9631,1561,1990,7967,1,0.041985714285714286,0.11254285714285714,0.10369523809523809,0.04586190476190476,0.0074333333333333335,0.009476190476190477
600,300000,2,2,1,36,0,0,2,0,0,0,-475,5191,4606,2303,2768,65373,10000,0,0,2768,65373,10780,1,-0.0015833333333333333,0.017303333333333334,0.015353333333333333,0.007676666666666667,0.009226666666666666,0.21791
602,30000,1,3,1,59,0,0,0,0,0,0,390,390,390,390,390,1320,390,390,390,390,1320,0,1,0.013,0.013,0.013,0.013,0.013,0.044
649,280000,2,2,1,44,2,2,2,2,2,2,186149,181779,192189,195517,199250,195874,0,15000,8000,7000,0,15000,1,0.6648178571428571,0.6492107142857143,0.6863892857142857,0.698275,0.7116071428571429,0.69955
658,190000,2,1,2,28,0,0,0,0,0,0,46923,48666,49347,50386,43883,34412,2500,2000,3000,2000,2000,2000,1,0.24696315789473683,0.25613684210526316,0.25972105263157896,0.26518947368421053,0.23096315789473684,0.1811157894736842
662,90000,1,2,1,40,0,0,0,0,0,0,42856,44925,0,787,1457,0,3114,0,787,1457,0,0,1,0.47617777777777776,0.49916666666666665,0.0,0.008744444444444445,0.016188888888888888,0.0
670,20000,2,1,1,30,2,2,2,0,0,0,5766,7511,7678,7318,7458,7598,2000,500,0,500,500,0,1,0.2883,0.37555,0.3839,0.3659,0.3729,0.3799
672,20000,1,2,1,34,0,0,0,0,0,0,12857,14183,14890,15642,16387,17113,1541,1248,1000,1000,1000,1000,1,0.64285,0.70915,0.7445,0.7821,0.81935,0.85565
673,100000,2,1,2,28,2,0,0,0,0,0,96193,82342,81967,82177,78840,79261,3600,3800,3000,3000,3023,3000,1,0.96193,0.82342,0.81967,0.82177,0.7884,0.79261
674,30000,1,2,2,25,2,2,7,7,7,6,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,1,0.08,0.08,0.08,0.08,0.08,0.06
676,90000,1,3,2,42,2,2,2,2,2,2,64762,63164,32789,31641,29240,28306,0,2900,0,2500,0,1300,1,0.7195777777777778,0.7018222222222222,0.3643222222222222,0.3515666666666667,0.3248888888888889,0.31451111111111113
677,190000,1,2,2,40,2,2,2,2,2,2,145613,156765,159386,161870,165725,169928,15000,6600,6500,6500,7000,7000,1,0.7663842105263158,0.825078947368421,0.8388736842105263,0.8519473684210527,0.8722368421052632,0.8943578947368421
687,20000,2,3,1,41,0,0,0,0,0,0,780,0,732,642,1252,643,0,732,300,1000,500,1000,1,0.039,0.0,0.0366,0.0321,0.0626,0.03215
693,200000,2,2,1,29,2,0,0,0,0,0,159398,156955,132144,119136,122211,125021,6163,4530,4500,5000,5000,5000,1,0.79699,0.784775,0.66072,0.59568,0.611055,0.625105
704,50000,2,2,3,30,1,3,2,0,0,0,52515,51424,49967,20036,20076,37615,0,0,2000,1000,1000,1600,1,1.0503,1.02848,0.99934,0.40072,0.40152,0.7523
706,50000,1,1,2,26,0,0,0,0,0,0,15448,16392,18096,18425,18619,19060,1500,2000,1500,1200,900,1000,1,0.30896,0.32784,0.36192,0.3685,0.37238,0.3812
718,70000,2,2,1,33,0,0,0,0,0,0,69418,68943,38783,3758,1261,0,2382,2025,1000,25,0,1651,1,0.9916857142857143,0.9849,0.5540428571428572,0.05368571428571429,0.018014285714285715,0.0
722,10000,1,2,2,22,0,0,0,0,0,0,7960,9649,8518,8628,9293,5033,2000,1000,500,1500,0,2500,1,0.796,0.9649,0.8518,0.8628,0.9293,0.5033
726,10000,1,2,1,45,0,0,0,2,0,0,7139,8416,9815,9508,9754,10192,1400,1700,0,400,600,200,1,0.7139,0.8416,0.9815,0.9508,0.9754,1.0192
730,60000,1,1,2,29,0,2,0,0,2,2,546,255,464,1173,732,1023,0,500,1000,0,582,0,1,0.0091,0.00425,0.007733333333333333,0.01955,0.0122,0.01705
740,80000,2,2,2,25,2,0,0,2,0,0,17330,19258,23416,22768,23243,23718,3000,4790,0,816,833,2000,1,0.216625,0.240725,0.2927,0.2846,0.2905375,0.296475
748,300000,2,3,1,34,0,0,0,0,0,0,280823,275303,271952,193403,187562,191069,11000,12000,7200,6500,6173,5500,1,0.9360766666666667,0.9176766666666667,0.9065066666666667,0.6446766666666667,0.6252066666666667,0.6368966666666667
749,150000,2,1,2,31,2,0,0,0,0,0,390,390,390,4825,5202,780,390,390,4825,5202,780,0,1,0.0026,0.0026,0.0026,0.03216666666666667,0.03468,0.0052
750,50000,2,2,2,25,8,7,6,5,4,3,37647,37102,36238,36374,35229,34365,0,0,1000,0,0,3000,1,0.75294,0.74204,0.72476,0.72748,0.70458,0.6873
753,50000,1,2,2,26,0,0,0,0,0,0,48036,46787,42011,19147,2845,20041,2100,1227,383,2000,20000,649,1,0.96072,0.93574,0.84022,0.38294,0.0569,0.40082
758,230000,2,2,1,30,2,0,0,0,0,0,9636,10152,1817,-828,6153,12663,1222,1837,0,7863,12675,2959,1,0.04189565217391304,0.04413913043478261,0.0079,-0.0036,0.026752173913043478,0.055056521739130435
761,50000,2,2,2,52,1,2,0,0,0,2,43343,43360,23417,21969,21179,18711,1300,1400,920,1700,0,900,1,0.86686,0.8672,0.46834,0.43938,0.42358,0.37422
779,50000,2,1,1,32,2,0,0,0,0,0,47858,49223,42589,639,4639,2312,2500,3000,7000,4000,2413,2000,1,0.95716,0.98446,0.85178,0.01278,0.09278,0.04624
